first_name,last_name,email,phone,organization,category,rsvp_status,party_size,dietary_restrictions,accessibility_needs,notes,table_preference,seating_preference,relationship_tags
Quinn,McDonald,quinn.mcdonald@student.greenfield.edu,(555) 464-8330,Political Science,scholarship_recipient,confirmed,2,,,"Recipient of Chen Arts & Humanities Scholarship — $2,500 award",,Near other Chen Arts & Humanities Scholarship recipients,chen-arts-&-humanities-scholarship
Robert,Montgomery,robert.montgomery@student.greenfield.edu,(555) 872-2272,Economics,scholarship_recipient,confirmed,1,,,"Recipient of Chen Arts & Humanities Scholarship — $2,500 award",,,chen-arts-&-humanities-scholarship
Santiago,Newman,santiago.newman@student.greenfield.edu,(555) 322-8383,Pre-Med,scholarship_recipient,confirmed,3,,,"Recipient of Chen Arts & Humanities Scholarship — $2,500 award",,,chen-arts-&-humanities-scholarship
Stella,Page,stella.page@student.greenfield.edu,(555) 903-1862,Music Performance,scholarship_recipient,confirmed,2,,,"Recipient of Chen Arts & Humanities Scholarship — $2,500 award",,Near other Chen Arts & Humanities Scholarship recipients,chen-arts-&-humanities-scholarship
Thomas,Pierce,thomas.pierce@student.greenfield.edu,(555) 587-8192,Public Health,scholarship_recipient,confirmed,2,,,"Recipient of Chen Arts & Humanities Scholarship — $2,500 award",,,chen-arts-&-humanities-scholarship
Victoria,Ahmed,victoria.ahmed@student.greenfield.edu,(555) 816-7631,Mechanical Engineering,scholarship_recipient,confirmed,2,,,"Recipient of Chen Arts & Humanities Scholarship — $2,500 award",,,chen-arts-&-humanities-scholarship
Zachary,Bell,zachary.bell@student.greenfield.edu,(555) 381-8537,Data Science,scholarship_recipient,declined,2,,,"Recipient of Chen Arts & Humanities Scholarship — $2,500 award",,,chen-arts-&-humanities-scholarship
Alex,Burns,alex.burns@student.greenfield.edu,(555) 417-8404,Philosophy,scholarship_recipient,confirmed,3,Shellfish allergy,,"Recipient of Chen Arts & Humanities Scholarship — $2,500 award",,,chen-arts-&-humanities-scholarship
Angela,Chambers,angela.chambers@student.greenfield.edu,(555) 451-1914,Journalism,scholarship_recipient,invited,1,,,"Recipient of Chen Arts & Humanities Scholarship — $2,500 award",,,chen-arts-&-humanities-scholarship
Autumn,Cortez,autumn.cortez@student.greenfield.edu,(555) 535-6626,Marine Biology,scholarship_recipient,declined,2,,,"Recipient of Chen Arts & Humanities Scholarship — $2,500 award",,Near other Chen Arts & Humanities Scholarship recipients,chen-arts-&-humanities-scholarship
Claudia,Ellis,claudia.ellis@student.greenfield.edu,(555) 805-2741,Biology,scholarship_recipient,declined,3,Halal,,"Recipient of Okafor International Studies Award — $1,636 award",,,okafor-international-studies-award
David,Fuller,david.fuller@student.greenfield.edu,(555) 352-5532,Business Administration,scholarship_recipient,declined,3,Vegan,,"Recipient of Okafor International Studies Award — $1,636 award",,,okafor-international-studies-award
Elena,Griffin,elena.griffin@student.greenfield.edu,(555) 981-5569,English Literature,scholarship_recipient,confirmed,3,,,"Recipient of Okafor International Studies Award — $1,636 award",,,okafor-international-studies-award
Enrique,Hayes,enrique.hayes@student.greenfield.edu,(555) 808-5757,Political Science,scholarship_recipient,confirmed,3,,,"Recipient of Okafor International Studies Award — $1,636 award",,Near other Okafor International Studies Award recipients,okafor-international-studies-award
Fernando,Hughes,fernando.hughes@student.greenfield.edu,(555) 961-2615,Economics,scholarship_recipient,waitlist,2,,,"Recipient of Okafor International Studies Award — $1,636 award",,,okafor-international-studies-award
Hayden,Kang,hayden.kang@student.greenfield.edu,(555) 989-4324,Pre-Med,scholarship_recipient,confirmed,2,,,"Recipient of Okafor International Studies Award — $1,636 award",,,okafor-international-studies-award
Isaiah,Lawrence,isaiah.lawrence@student.greenfield.edu,(555) 485-3482,Music Performance,scholarship_recipient,confirmed,2,Nut allergy,,"Recipient of Okafor International Studies Award — $1,636 award",,Near other Okafor International Studies Award recipients,okafor-international-studies-award
Jayden,Manning,jayden.manning@student.greenfield.edu,(555) 930-9982,Public Health,scholarship_recipient,declined,2,,,"Recipient of Okafor International Studies Award — $1,636 award",,,okafor-international-studies-award
Julia,McGee,julia.mcgee@student.greenfield.edu,(555) 604-7145,Mechanical Engineering,scholarship_recipient,confirmed,1,,,"Recipient of Okafor International Studies Award — $1,636 award",,,okafor-international-studies-award
Kennedy,Moore,kennedy.moore@student.greenfield.edu,(555) 683-8185,Data Science,scholarship_recipient,confirmed,2,,,"Recipient of Okafor International Studies Award — $1,636 award",,,okafor-international-studies-award
Leah,Nguyen,leah.nguyen@student.greenfield.edu,(555) 351-8031,Philosophy,scholarship_recipient,confirmed,2,,,"Recipient of Okafor International Studies Award — $1,636 award",,Near other Okafor International Studies Award recipients,okafor-international-studies-award
Melanie,Patel,melanie.patel@student.greenfield.edu,(555) 969-3881,Hospitality Management,scholarship_recipient,confirmed,2,,,"Recipient of Mitchell Financial Literacy Scholarship — $2,292 award",,,mitchell-financial-literacy-scholarship
Nadia,Price,nadia.price@student.greenfield.edu,(555) 576-1304,Anthropology,scholarship_recipient,confirmed,2,,,"Recipient of Mitchell Financial Literacy Scholarship — $2,292 award",,Near other Mitchell Financial Literacy Scholarship recipients,mitchell-financial-literacy-scholarship
Nora,Anderson,nora.anderson@student.greenfield.edu,(555) 409-1097,Biology,scholarship_recipient,invited,4,,,"Recipient of Mitchell Financial Literacy Scholarship — $2,292 award",,,mitchell-financial-literacy-scholarship
Parker,Blake,parker.blake@student.greenfield.edu,(555) 968-5409,Business Administration,scholarship_recipient,confirmed,4,,,"Recipient of Mitchell Financial Literacy Scholarship — $2,292 award",,Near other Mitchell Financial Literacy Scholarship recipients,mitchell-financial-literacy-scholarship
Rachel,Campbell,rachel.campbell@student.greenfield.edu,(555) 351-2160,English Literature,scholarship_recipient,confirmed,1,,,"Recipient of Mitchell Financial Literacy Scholarship — $2,292 award",,,mitchell-financial-literacy-scholarship
Rosa,Clark,rosa.clark@student.greenfield.edu,(555) 916-4828,Political Science,scholarship_recipient,confirmed,1,,,"Recipient of Mitchell Financial Literacy Scholarship — $2,292 award",,Near other Mitchell Financial Literacy Scholarship recipients,mitchell-financial-literacy-scholarship
Sara,Dalton,sara.dalton@student.greenfield.edu,(555) 937-1910,Economics,scholarship_recipient,confirmed,2,,,"Recipient of Mitchell Financial Literacy Scholarship — $2,292 award",,Near other Mitchell Financial Literacy Scholarship recipients,mitchell-financial-literacy-scholarship
Stephanie,Espinoza,stephanie.espinoza@student.greenfield.edu,(555) 934-7091,Pre-Med,scholarship_recipient,confirmed,2,,,"Recipient of Mitchell Financial Literacy Scholarship — $2,292 award",,Near other Mitchell Financial Literacy Scholarship recipients,mitchell-financial-literacy-scholarship
Tiana,Garcia,tiana.garcia@student.greenfield.edu,(555) 963-3478,Music Performance,scholarship_recipient,confirmed,4,,,"Recipient of Mitchell Financial Literacy Scholarship — $2,292 award",,Near other Mitchell Financial Literacy Scholarship recipients,mitchell-financial-literacy-scholarship
Vincent,Guerrero,vincent.guerrero@student.greenfield.edu,(555) 796-4258,Public Health,scholarship_recipient,confirmed,1,,Hearing assistance needed,"Recipient of Mitchell Financial Literacy Scholarship — $2,292 award",,Near other Mitchell Financial Literacy Scholarship recipients,mitchell-financial-literacy-scholarship
Aaliyah,Henderson,aaliyah.henderson@student.greenfield.edu,(555) 622-5412,Mechanical Engineering,scholarship_recipient,waitlist,1,Shellfish allergy,,"Recipient of Mitchell Financial Literacy Scholarship — $2,292 award",,,mitchell-financial-literacy-scholarship
Amara,Hunt,amara.hunt@student.greenfield.edu,(555) 881-6193,Data Science,scholarship_recipient,checked_in,2,,,"Recipient of Mitchell Financial Literacy Scholarship — $2,292 award",,,mitchell-financial-literacy-scholarship
Briana,Kim,briana.kim@student.greenfield.edu,(555) 814-3717,History,scholarship_recipient,confirmed,2,,,"Recipient of Rahman Teaching Excellence Scholarship — $1,600 award",,,rahman-teaching-excellence-scholarship
Carter,Lin,carter.lin@student.greenfield.edu,(555) 807-8575,Hospitality Management,scholarship_recipient,confirmed,3,,,"Recipient of Rahman Teaching Excellence Scholarship — $1,600 award",,,rahman-teaching-excellence-scholarship
Cole,Martinez,cole.martinez@student.greenfield.edu,(555) 912-5128,Anthropology,scholarship_recipient,invited,3,,,"Recipient of Rahman Teaching Excellence Scholarship — $1,600 award",,,rahman-teaching-excellence-scholarship
Destiny,Meyer,destiny.meyer@student.greenfield.edu,(555) 835-7934,Biology,scholarship_recipient,confirmed,3,Gluten-free,,"Recipient of Rahman Teaching Excellence Scholarship — $1,600 award",,Near other Rahman Teaching Excellence Scholarship recipients,rahman-teaching-excellence-scholarship
Elijah,Morrison,elijah.morrison@student.greenfield.edu,(555) 905-9256,Business Administration,scholarship_recipient,checked_in,2,,,"Recipient of Rahman Teaching Excellence Scholarship — $1,600 award",,,rahman-teaching-excellence-scholarship
Eric,Oliver,eric.oliver@student.greenfield.edu,(555) 862-4717,English Literature,scholarship_recipient,waitlist,4,,,"Recipient of Rahman Teaching Excellence Scholarship — $1,600 award",,,rahman-teaching-excellence-scholarship
Gabriel,Patterson,gabriel.patterson@student.greenfield.edu,(555) 558-6515,Political Science,scholarship_recipient,confirmed,2,,,"Recipient of Rahman Teaching Excellence Scholarship — $1,600 award",,Near other Rahman Teaching Excellence Scholarship recipients,rahman-teaching-excellence-scholarship
Henry,Quinn,henry.quinn@student.greenfield.edu,(555) 781-1133,Economics,scholarship_recipient,invited,2,Vegetarian,,"Recipient of Rahman Teaching Excellence Scholarship — $1,600 award",,,rahman-teaching-excellence-scholarship
Jade,Armstrong,jade.armstrong@student.greenfield.edu,(555) 416-2251,Pre-Med,scholarship_recipient,confirmed,2,,,"Recipient of Rahman Teaching Excellence Scholarship — $1,600 award",,,rahman-teaching-excellence-scholarship
Jenna,Boyd,jenna.boyd@student.greenfield.edu,(555) 830-8955,Music Performance,scholarship_recipient,confirmed,2,Dairy-free,,"Recipient of Rahman Teaching Excellence Scholarship — $1,600 award",,,rahman-teaching-excellence-scholarship
Leah,Carter,leah.carter@student.greenfield.edu,(555) 998-5019,Accounting,scholarship_recipient,declined,2,Vegetarian,,"Recipient of DeLuca Service Industry Scholarship — $1,556 award",,,deluca-service-industry-scholarship
Luis,Contreras,luis.contreras@student.greenfield.edu,(555) 578-1081,Electrical Engineering,scholarship_recipient,confirmed,2,,,"Recipient of DeLuca Service Industry Scholarship — $1,556 award",,Near other DeLuca Service Industry Scholarship recipients,deluca-service-industry-scholarship
Maria,Diaz,maria.diaz@student.greenfield.edu,(555) 856-2602,Graphic Design,scholarship_recipient,confirmed,3,Vegetarian,,"Recipient of DeLuca Service Industry Scholarship — $1,556 award",,Near other DeLuca Service Industry Scholarship recipients,deluca-service-industry-scholarship
Mia,Fisher,mia.fisher@student.greenfield.edu,(555) 903-5043,History,scholarship_recipient,confirmed,2,Shellfish allergy,,"Recipient of DeLuca Service Industry Scholarship — $1,556 award",,,deluca-service-industry-scholarship
Naomi,Gonzalez,naomi.gonzalez@student.greenfield.edu,(555) 915-4064,Hospitality Management,scholarship_recipient,confirmed,2,,,"Recipient of DeLuca Service Industry Scholarship — $1,556 award",,,deluca-service-industry-scholarship
Nyla,Hansen,nyla.hansen@student.greenfield.edu,(555) 463-6481,Anthropology,scholarship_recipient,confirmed,2,,,"Recipient of DeLuca Service Industry Scholarship — $1,556 award",,,deluca-service-industry-scholarship
Patricia,Hicks,patricia.hicks@student.greenfield.edu,(555) 982-9351,Biology,scholarship_recipient,checked_in,1,Kosher,,"Recipient of DeLuca Service Industry Scholarship — $1,556 award",,Near other DeLuca Service Industry Scholarship recipients,deluca-service-industry-scholarship
Rafael,Jenkins,rafael.jenkins@student.greenfield.edu,(555) 669-8983,Business Administration,scholarship_recipient,confirmed,2,,,"Recipient of DeLuca Service Industry Scholarship — $1,556 award",,Near other DeLuca Service Industry Scholarship recipients,deluca-service-industry-scholarship
Ryan,King,ryan.king@student.greenfield.edu,(555) 564-2126,English Literature,scholarship_recipient,confirmed,2,,,"Recipient of DeLuca Service Industry Scholarship — $1,556 award",,Near other DeLuca Service Industry Scholarship recipients,deluca-service-industry-scholarship
Tiana,Lyons,tiana.lyons@student.greenfield.edu,(555) 665-8210,Communications,scholarship_recipient,confirmed,1,,,"Recipient of Nakamura Innovation Fellowship — $2,667 award",,,nakamura-innovation-fellowship
Vincent,McCarthy,vincent.mccarthy@student.greenfield.edu,(555) 665-5557,Environmental Science,scholarship_recipient,declined,2,Dairy-free,,"Recipient of Nakamura Innovation Fellowship — $2,667 award",,Near other Nakamura Innovation Fellowship recipients,nakamura-innovation-fellowship
Aaliyah,Molina,aaliyah.molina@student.greenfield.edu,(555) 936-7170,Kinesiology,scholarship_recipient,confirmed,2,,,"Recipient of Nakamura Innovation Fellowship — $2,667 award",,,nakamura-innovation-fellowship
Amara,Navarro,amara.navarro@student.greenfield.edu,(555) 479-4088,Criminal Justice,scholarship_recipient,confirmed,2,,,"Recipient of Nakamura Innovation Fellowship — $2,667 award",,,nakamura-innovation-fellowship
Aniya,Pacheco,aniya.pacheco@student.greenfield.edu,(555) 627-6916,Accounting,scholarship_recipient,invited,2,,,"Recipient of Nakamura Innovation Fellowship — $2,667 award",,,nakamura-innovation-fellowship
Ava,Peterson,ava.peterson@student.greenfield.edu,(555) 498-4647,Electrical Engineering,scholarship_recipient,invited,3,,,"Recipient of Nakamura Innovation Fellowship — $2,667 award",,,nakamura-innovation-fellowship
Brooke,Adams,brooke.adams@student.greenfield.edu,(555) 484-5822,Graphic Design,scholarship_recipient,confirmed,4,,,"Recipient of Nakamura Innovation Fellowship — $2,667 award",,Near other Nakamura Innovation Fellowship recipients,nakamura-innovation-fellowship
Catherine,Barnes,catherine.barnes@student.greenfield.edu,(555) 827-2622,History,scholarship_recipient,confirmed,2,,,"Recipient of Nakamura Innovation Fellowship — $2,667 award",,,nakamura-innovation-fellowship
Connor,Bryant,connor.bryant@student.greenfield.edu,(555) 410-9608,Hospitality Management,scholarship_recipient,invited,3,Halal,,"Recipient of Nakamura Innovation Fellowship — $2,667 award",,,nakamura-innovation-fellowship
Diana,Casey,diana.casey@student.greenfield.edu,(555) 509-9060,Anthropology,scholarship_recipient,confirmed,2,,,"Recipient of Nakamura Innovation Fellowship — $2,667 award",,,nakamura-innovation-fellowship
Elise,Cook,elise.cook@student.greenfield.edu,(555) 589-9553,Biology,scholarship_recipient,confirmed,4,,,"Recipient of Nakamura Innovation Fellowship — $2,667 award",,Near other Nakamura Innovation Fellowship recipients,nakamura-innovation-fellowship
Ethan,Dixon,ethan.dixon@student.greenfield.edu,(555) 988-4478,Business Administration,scholarship_recipient,invited,2,,,"Recipient of Nakamura Innovation Fellowship — $2,667 award",,,nakamura-innovation-fellowship
Genesis,Flores,genesis.flores@student.greenfield.edu,(555) 482-1892,English Literature,scholarship_recipient,invited,2,,,"Recipient of Nakamura Innovation Fellowship — $2,667 award",,,nakamura-innovation-fellowship
Hope,Gordon,hope.gordon@student.greenfield.edu,(555) 807-1525,Political Science,scholarship_recipient,waitlist,4,,,"Recipient of Nakamura Innovation Fellowship — $2,667 award",,Near other Nakamura Innovation Fellowship recipients,nakamura-innovation-fellowship
Jaiden,Harper,jaiden.harper@student.greenfield.edu,(555) 377-6367,Economics,scholarship_recipient,confirmed,1,,,"Recipient of Nakamura Innovation Fellowship — $2,667 award",,,nakamura-innovation-fellowship
Kevin,Huang,kevin.huang@student.greenfield.edu,(555) 697-7485,Kinesiology,scholarship_recipient,confirmed,1,,,"Recipient of Washington Communications Scholarship — $1,727 award",,Near other Washington Communications Scholarship recipients,washington-communications-scholarship
Leonardo,Jones,leonardo.jones@student.greenfield.edu,(555) 670-5821,Criminal Justice,scholarship_recipient,confirmed,3,,,"Recipient of Washington Communications Scholarship — $1,727 award",,,washington-communications-scholarship
Luna,Lane,luna.lane@student.greenfield.edu,(555) 605-8792,Accounting,scholarship_recipient,confirmed,2,,,"Recipient of Washington Communications Scholarship — $1,727 award",,,washington-communications-scholarship
Mariana,Maldonado,mariana.maldonado@student.greenfield.edu,(555) 308-2122,Electrical Engineering,scholarship_recipient,confirmed,2,,,"Recipient of Washington Communications Scholarship — $1,727 award",,,washington-communications-scholarship
Michael,McCoy,michael.mccoy@student.greenfield.edu,(555) 713-2120,Graphic Design,scholarship_recipient,invited,2,,,"Recipient of Washington Communications Scholarship — $1,727 award",,,washington-communications-scholarship
Nathan,Monroe,nathan.monroe@student.greenfield.edu,(555) 539-8764,History,scholarship_recipient,invited,4,,,"Recipient of Washington Communications Scholarship — $1,727 award",,,washington-communications-scholarship
Olivia,Nelson,olivia.nelson@student.greenfield.edu,(555) 912-7355,Hospitality Management,scholarship_recipient,confirmed,2,,,"Recipient of Washington Communications Scholarship — $1,727 award",,Near other Washington Communications Scholarship recipients,washington-communications-scholarship
Patrick,Padilla,patrick.padilla@student.greenfield.edu,(555) 487-5617,Anthropology,scholarship_recipient,waitlist,2,,Mobility aid - aisle seat preferred,"Recipient of Washington Communications Scholarship — $1,727 award",,Near other Washington Communications Scholarship recipients,washington-communications-scholarship
Raymond,Phillips,raymond.phillips@student.greenfield.edu,(555) 699-7789,Biology,scholarship_recipient,confirmed,3,,,"Recipient of Washington Communications Scholarship — $1,727 award",,,washington-communications-scholarship
Sabrina,Aguilar,sabrina.aguilar@student.greenfield.edu,(555) 804-3460,Business Administration,scholarship_recipient,confirmed,2,,,"Recipient of Washington Communications Scholarship — $1,727 award",,Near other Washington Communications Scholarship recipients,washington-communications-scholarship
Sebastian,Bautista,sebastian.bautista@student.greenfield.edu,(555) 435-4113,English Literature,scholarship_recipient,confirmed,3,,,"Recipient of Washington Communications Scholarship — $1,727 award",,,washington-communications-scholarship
Violet,Byrd,violet.byrd@student.greenfield.edu,(555) 677-4591,Communications,scholarship_recipient,checked_in,2,,,"Recipient of O'Brien Justice & Law Scholarship — $1,750 award",,Near other O'Brien Justice & Law Scholarship recipients,o'brien-justice-&-law-scholarship
Abigail,Chapman,abigail.chapman@student.greenfield.edu,(555) 397-9711,Environmental Science,scholarship_recipient,confirmed,2,,,"Recipient of O'Brien Justice & Law Scholarship — $1,750 award",,,o'brien-justice-&-law-scholarship
Amber,Cruz,amber.cruz@student.greenfield.edu,(555) 703-8091,Kinesiology,scholarship_recipient,confirmed,2,,,"Recipient of O'Brien Justice & Law Scholarship — $1,750 award",,,o'brien-justice-&-law-scholarship
